	FOSSASIA 2016 - Internet, Society, Community																								
Date	Time	Timestamp	Given Name	Family Name	Company, Organization, Project or University		Website or Blog	Email		github	bitbucket	twitter	Linkedin		Country/Region of Origin	Current City/Region		Photo for Website and Program	Type	Topic or Name of proposed talk, workshop or project	Track	Abstract of talk or project	Please provide a short bio for the program	Please add anything else you would like to tell us	Comments
Friday March 18	Friday March 18																								
Friday March 18	1:30 PM	1/17/2016 20:50:14	Herr	Fluke	🐰		https://hf.dropcut.net								internet	internet			Talk of 20 minutes	The Smart City - Where mammals and computers live together in mutually programming harmony like pure water touching clear sky	Internet, Society, Community	As the internet trickles through society it starts to transform the very places where people live. Some think it can change cities in this century as much as electricity did in the last one. The governments of the world, the weary giants of flesh and steel, also tap into this new home.  This talk will step away from the computer screen to look at the design patterns of current toolchains for the so-called "smart city" and their implications. Is there a way the free/libre open (source software) spirit can be baked into the infrastructure that society runs on?	herr flupke  explains machines to humans and humans to machines. His work involves security and privacy, community and ethics.		
Friday March 18	2:00 PM	2/2/2016 0:30:37	Alexander	Couzens	freelancer		http://lunarius.fe80.eu			lynxis		https://twitter.com/lynxislazus			Germany	Germany/Berlin			Talk of 20 minutes	Who owns my notebook? or why I want to run coreboot on every device	OpenTech	Who controls the hardware own's the hardware! Vendors taking more and more power of our devices with no return for us - the end user. They want to decide what software it runs on the hardware they sell to us. Why? Because of security. Security means to prevent the user from owning the device and gives the vendor more power to feel good. This security also restricts the usage of hardware to a certain use case. The open source world has shown there are a lot more use cases than advertised with any given hardware. The talk also gives a short overview of coreboot and how coreboot can solve some problems.	I'm an open source developer doing low level delelopment like OpenWrt and coreboot. 		
Friday March 18	2:30 PM	1/18/2016 3:23:53	Norvan	Vogt	Queensland Health		https://www.linkedin.com/in/norvanvogt						https://www.linkedin.com/in/norvanvogt		Australia	Townsville			Workshop of 1 hour	Adoption of open standards and FLOS Software in the public sector	Internet, Society, Community	Organisational budgets are shrinking and stakeholders are putting increasing pressure on public sector organisations to be efficient without jeopardising service delivery. There is a multitude of ways to share and reuse software amongst organisations and the public sector employs (and has employed) a variety of different approaches. This session will specifically focus on open source software and the factors influencing the adoption of open source software within public sector organisations. The primary objective of the session is to explore open source software benefits for public sector organisations, discuss the current state of adoption, and review the motivators and a-motivators affecting adoption. A secondary objective of the session is to investigate where organisations are utilising open source software and whether organisations consider open source software as a means of achieving business goals.	Norvan is passionate about open source technology and using ICT to make a difference in the world. At age 18, Norvan co-founded an open source software company in Canberra. In 2004, he was responsible for leading the campaign that concluded with the Australian Capital Territory (ACT) legislative assembly changing legislation, where they are preferencing open source software during procurement. Furthermore, Norvan has spent at least five years working internationally on ICT projects, creating open source solutions through community development methodologies, for the United Nations, AusAID and the World Bank, in Vanuatu, Cambodia and Guatemala. Norvan has served in a range of high level advisory roles, such as the Prime Minister’s Youth Roundtable,  Defence Reserves Support Council and the United Nations International Symposium on Volunteering. He is currently employed by Townsville Hospital as the Chief Information Officer for the health district and is also studying a PhD part-time at James Cook University.		
Friday March 18	3:00 PM																								
Friday March 18	3:30 PM	1/30/2016 16:25:32	Syah Dwi	Prihatmoko	BlankOn		http://sdmokonote.wordpress.com			sdmoko	sdmoko	https://twitter.com/sdmoko	https://www.linkedin.com/in/sdmoko		Indonesia	Bogor			Talk of 20 minutes	FOSS in Indonesia Election	Internet, Society, Community	This presentation will present to the audience about how the Indonesian government using FOSS in conducting the election. Anything that is used in the election. How FOSS help elections. What is achieved by the use of FOSS. What can be done with FOSS to improve governance.	FLOSS Activist and Young Sysadmin		
Friday March 18	4:00 PM																								
Friday March 18	4:30 PM		End	of Sessions																					
Friday March 18	7:00 PM		Pub	Crawl																					
Saturday March 19	Saturday March 19																								
Saturday March 19	10:00 AM	1/28/2016 17:34:42	Zion	Ng	intZone.com		http://intzone.com			https://github.com/zionsg		https://twitter.com/zionsg2015	https://sg.linkedin.com/in/zionsg2015		Singapore	Singapore		https://momocentral.com/system/devs/logos/000/000/027/original/zion.jpg	Talk of 20 minutes	Journey as a Freelance Web Developer	Internet, Society, Community	This talk is about the speaker's journey as he ventured into the world of freelancing, the ups & downs, the lessons learnt and most of all, the support he got from his local IT community in Singapore.	Zion Ng is a Singaporean freelance web developer at intZone.com. Programming has been his favourite hobby since his teens, a tool to create solutions for himself, family and friends. He believes in lifelong learning as passion may die off but passion for learning will keep the flame alive. He graduated from the School of Computing, National University of Singapore and is also a Zend Certified Engineer (PHP and Zend Framework).		
Saturday March 19	10:30 AM	1/13/2016 3:33:45	Huiren	Woo	Fedora Project		https://woohuiren.me			https://github.com/GIANTCRAB		https://twitter.com/woohuiren	https://www.linkedin.com/in/woohuiren		Singapore	Singapore		http://i.imgur.com/OE63qaN.jpg	Talk of 20 minutes	Opening up yourself	Internet, Society, Community	Change the mindset of proprietary software users and the stereotypical idea of contributing to free and open-source software.	Here's a short run through of what the talk will be about:   - Self Introduction - FOSS & OSS -- How I contribute to FOSS -- How you can contribute -- Why I contribute -- Why you should contribute -- Power of FOSS & OSS - About Fedora -- Brief dramatic history --- Argument of Fedora Devs with Linus - Why Fedora -- Cutting edge - How to Fedora -- Pidora -- Cloud images - Alternatives to proprietary software -- Skype alternatives, etc. - Conclusion	I'm only available on the 2nd and 3rd day. :(	
Saturday March 19	11:00 AM	2/11/2016 11:59:24	Sagar	Pandey	EMC Corporation 		https://aigeano.github.io			github.com/aigeano		https://twitter.com/sagarinocean	https://www.linkedin.com/in/sagar-pandey-07806253		India	Bangalore		http://aigeano.github.io/images/profile.jpg	Talk of 20 minutes	From Hacks to Products	Internet, Society, Community	The hackathon cult is already setting deep roots in today's programming arena. Hacking has earned itself a recognised, positive and encouraged definition. But the question is: What should you actually do with your hacks? What Next? What exactly to take back from hackathons? And how one may find a very subtle entry into the Open Source world through Hacking.	Sagar is a blend of a developer, a hacker and an evangelist. He owns the experience of atteding 40+ hackathons and winning 2 national and 1 international hackathon. He is a also a open source contributer and evangelist for mozilla and scrollback. He is also a full time Associate consultant in EMC and dives in building scalable analytics applications . He loves Python truly,madly and deeply . 		
Saturday March 19	11:30 AM																								
Saturday March 19	12:00 PM		Group	Photo																					
Saturday March 19	12:15 PM		Lunch																						
